VITMO ModelWeb Browser Results
NRLMSISE-00 model listing
Input parameters
year= 2000, month= 1, day= 1, hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
latitude= 55.00, longitude= 45.00, height= 1000.00
Prof. parameters: start= 0.00 stop= 1000.00 step= 5.00

Optional parametes: F10.7(daily) =not specified; F10.7(3-month avg) =not specified; ap(daily) = not specified

   Selected parameters are:
1 Height, km
2 Mass_density, g/cm-3

      1         2
    0.0 1.292E-03
    5.0 7.517E-04
   10.0 3.984E-04
   15.0 1.812E-04
   20.0 8.273E-05
   25.0 3.625E-05
   30.0 1.555E-05
   35.0 6.783E-06
   40.0 3.149E-06
   45.0 1.569E-06
   50.0 8.284E-07
   55.0 4.437E-07
   60.0 2.329E-07
   65.0 1.181E-07
   70.0 5.765E-08
   75.0 2.742E-08
   80.0 1.303E-08
   85.0 6.044E-09
   90.0 2.682E-09
   95.0 1.122E-09
  100.0 4.339E-10
  105.0 1.612E-10
  110.0 6.422E-11
  115.0 2.971E-11
  120.0 1.582E-11
  125.0 9.467E-12
  130.0 6.189E-12
  135.0 4.302E-12
  140.0 3.125E-12
  145.0 2.348E-12
  150.0 1.811E-12
  155.0 1.425E-12
  160.0 1.141E-12
  165.0 9.252E-13
  170.0 7.596E-13
  175.0 6.296E-13
  180.0 5.262E-13
  185.0 4.429E-13
  190.0 3.752E-13
  195.0 3.195E-13
  200.0 2.734E-13
  205.0 2.350E-13
  210.0 2.028E-13
  215.0 1.757E-13
  220.0 1.526E-13
  225.0 1.330E-13
  230.0 1.163E-13
  235.0 1.019E-13
  240.0 8.949E-14
  245.0 7.879E-14
  250.0 6.951E-14
  255.0 6.145E-14
  260.0 5.443E-14
  265.0 4.830E-14
  270.0 4.293E-14
  275.0 3.822E-14
  280.0 3.408E-14
  285.0 3.044E-14
  290.0 2.722E-14
  295.0 2.437E-14
  300.0 2.186E-14
  305.0 1.962E-14
  310.0 1.764E-14
  315.0 1.587E-14
  320.0 1.430E-14
  325.0 1.289E-14
  330.0 1.164E-14
  335.0 1.052E-14
  340.0 9.513E-15
  345.0 8.612E-15
  350.0 7.802E-15
  355.0 7.075E-15
  360.0 6.420E-15
  365.0 5.830E-15
  370.0 5.298E-15
  375.0 4.818E-15
  380.0 4.385E-15
  385.0 3.993E-15
  390.0 3.638E-15
  395.0 3.317E-15
  400.0 3.026E-15
  405.0 2.762E-15
  410.0 2.523E-15
  415.0 2.305E-15
  420.0 2.108E-15
  425.0 1.928E-15
  430.0 1.764E-15
  435.0 1.616E-15
  440.0 1.480E-15
  445.0 1.356E-15
  450.0 1.244E-15
  455.0 1.141E-15
  460.0 1.047E-15
  465.0 9.613E-16
  470.0 8.830E-16
  475.0 8.115E-16
  480.0 7.461E-16
  485.0 6.862E-16
  490.0 6.315E-16
  495.0 5.814E-16
  500.0 5.355E-16
  505.0 4.934E-16
  510.0 4.549E-16
  515.0 4.196E-16
  520.0 3.872E-16
  525.0 3.575E-16
  530.0 3.302E-16
  535.0 3.052E-16
  540.0 2.822E-16
  545.0 2.611E-16
  550.0 2.417E-16
  555.0 2.238E-16
  560.0 2.074E-16
  565.0 1.924E-16
  570.0 1.785E-16
  575.0 1.657E-16
  580.0 1.539E-16
  585.0 1.431E-16
  590.0 1.331E-16
  595.0 1.239E-16
  600.0 1.154E-16
  605.0 1.076E-16
  610.0 1.004E-16
  615.0 9.373E-17
  620.0 8.758E-17
  625.0 8.189E-17
  630.0 7.664E-17
  635.0 7.178E-17
  640.0 6.729E-17
  645.0 6.313E-17
  650.0 5.928E-17
  655.0 5.572E-17
  660.0 5.242E-17
  665.0 4.936E-17
  670.0 4.652E-17
  675.0 4.388E-17
  680.0 4.144E-17
  685.0 3.916E-17
  690.0 3.705E-17
  695.0 3.509E-17
  700.0 3.326E-17
  705.0 3.156E-17
  710.0 2.997E-17
  715.0 2.849E-17
  720.0 2.711E-17
  725.0 2.583E-17
  730.0 2.462E-17
  735.0 2.350E-17
  740.0 2.245E-17
  745.0 2.146E-17
  750.0 2.054E-17
  755.0 1.967E-17
  760.0 1.886E-17
  765.0 1.810E-17
  770.0 1.738E-17
  775.0 1.671E-17
  780.0 1.607E-17
  785.0 1.548E-17
  790.0 1.491E-17
  795.0 1.438E-17
  800.0 1.388E-17
  805.0 1.340E-17
  810.0 1.295E-17
  815.0 1.253E-17
  820.0 1.212E-17
  825.0 1.174E-17
  830.0 1.137E-17
  835.0 1.103E-17
  840.0 1.070E-17
  845.0 1.038E-17
  850.0 1.008E-17
  855.0 9.799E-18
  860.0 9.526E-18
  865.0 9.266E-18
  870.0 9.016E-18
  875.0 8.778E-18
  880.0 8.549E-18
  885.0 8.330E-18
  890.0 8.119E-18
  895.0 7.917E-18
  900.0 7.723E-18
  905.0 7.536E-18
  910.0 7.356E-18
  915.0 7.182E-18
  920.0 7.015E-18
  925.0 6.854E-18
  930.0 6.698E-18
  935.0 6.547E-18
  940.0 6.402E-18
  945.0 6.261E-18
  950.0 6.125E-18
  955.0 5.993E-18
  960.0 5.865E-18
  965.0 5.741E-18
  970.0 5.621E-18
  975.0 5.504E-18
  980.0 5.390E-18
  985.0 5.280E-18
  990.0 5.173E-18
  995.0 5.069E-18
 1000.0 4.968E-18
